   BENCHMARK INFORMATION
benchmark definition:    /mnt/a/master/master/sv-comp_tools/cbmc.xml
name:                    cbmc
run sets:                valid-memsafety.valid-memsafety, no-overflow.no-overflow
date:                    Sat, 2025-04-05 10:56:16 EEST
tool:                    CBMC 5.70.0 (cbmc-5.70.0-121-g4f69955d00)
tool executable:         /usr/svcomp/tools/cbmc/cbmc
options:                 --graphml-witness witness.graphml
parallel runs:           16
resource limits:
- memory:                4000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    raltvein
os:                      Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.35
cpu:                     AMD Ryzen 9 7900X 12-Core Processor
- cores:                 16
- max frequency:         4691.095 MHz
ram:                     8330.235904 MB
------------------------------------------------------------



valid-memsafety.valid-memsafety
Run set 1 of 2 with options '--graphml-witness witness.graphml' and propertyfile 'None'

inputfile                       status                       cpu time   wall time        host
sniproxy.yml                    ERROR (137)                     16.67       26.42        None
sniproxyFixed.yml               ERROR (137)                      9.85       14.93        None
sofia-sip.yml                   false(valid-deref)               0.13        0.18        None
sofia-sipFixed.yml              false(valid-memtrack)            0.17        0.85        None
sofia-sip_1.yml                 false(valid-deref)               0.46        1.66        None
sofia-sip_2.yml                 false(valid-deref)               1.63        4.29        None
stb.yml                         TIMEOUT                        121.06      160.56        None
stb_1.yml                       ERROR (137)                     52.23       79.55        None
tinydir.yml                     false(valid-memtrack)            0.80        1.11        None
tinytiff.yml                    false(valid-deref)               2.40        2.81        None
wasm-micro-runtime.yml          false(unreach-call)              0.15        0.20        None
wasm-micro-runtimeFixed.yml     ERROR (137)                     12.10       16.33        None
zchunk.yml                      false(valid-deref)               1.39        1.71        None
zchunkFixed.yml                 ERROR (137)                     21.70       32.08        None
zephyr.yml                      TIMEOUT                        120.87      153.94        None
zstd.yml                        false(valid-deref)               0.21        0.50        None
zstdFixed.yml                   ERROR (137)                     45.60       75.76        None
---------------------------------------------------------------------------------------------
Run set 1                       done                          1470.79      353.27           -


no-overflow.no-overflow
Run set 2 of 2 with options '--graphml-witness witness.graphml' and propertyfile 'None'

inputfile               status                       cpu time   wall time        host
-------------------------------------------------------------------------------------
NTSC-CRT.yml            OUT OF MEMORY                   79.10      122.31        None
gpac.yml                false(no-overflow)               0.10        0.53        None
gpac_15.yml             false(no-overflow)               0.09        0.52        None
gpac_9.yml              TIMEOUT                         90.00      181.03        None
kilo.yml                false(no-overflow)               0.14        0.18        None
libredwg_1.yml          OUT OF MEMORY                   64.64      116.11        None
libredwg_1Fixed.yml     ERROR (137)                     46.18       76.98        None
libsndfile.yml          false(no-overflow)               0.33        0.38        None
mujs.yml                ERROR (137)                     14.92       26.73        None
nanopb.yml              ERROR (137)                     34.55       51.42        None
netconsd.yml            ERROR (137)                     10.06       16.50        None
plutovg.yml             false(no-overflow)               0.14        0.17        None
stb.yml                 false(no-overflow)               0.80        0.90        None
sysstat.yml             true                             0.13        0.17        None
zchunk.yml              false(valid-deref)               0.81        0.91        None
zchunkFixed.yml         ERROR (137)                     25.31       39.44        None
-------------------------------------------------------------------------------------
Run set 2               done                           133.74      182.32           -

Statistics:            124 Files
  correct:              43
    correct true:        3
    correct false:      40
  incorrect:             1
    incorrect true:      1
    incorrect false:     0
  unknown:              80
  Score:                14 (max: 155)
